location,year,withdrawal_mg,discharge_mg,consumption_mg,consumptive_fraction,latitude,longitude,bws_score,bws_label,risk_class,high_stress_screen,reported_cooling_note,qa_flag,report_file,report_printed_page,source_ids,source_locators,scientific_boundary
"Lockbourne, OH",2023,31.8,8.5,23.3,0.7327044025157233,39.8089,-82.9688,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lockbourne, OH",2024,177.3,34.0,143.3,0.8082346305696559,39.8089,-82.9688,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Lockbourne, OH",2025,460.8,101.3,359.5,0.7801649305555556,39.8089,-82.9688,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Mayes County, OK",2022,896.8,207.1,689.7,0.7690677966101696,36.303,-95.235,0.0,Low (<10%),Low,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Mayes County, OK",2023,1037.1,222.0,815.1,0.7859415678333816,36.303,-95.235,0.0,Low (<10%),Low,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Mayes County, OK",2024,1108.3,275.1,833.2,0.7517820084814582,36.303,-95.235,0.0,Low (<10%),Low,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Mayes County, OK",2025,1396.7,315.3,1081.4,0.7742535977661631,36.303,-95.235,0.0,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Mesa, AZ",2025,19.4,9.7,9.7,0.5,33.4152,-111.8315,5.0,Extremely High (>80%),Extremely high,True,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Midlothian, TX",2022,117.3,24.0,93.3,0.7953964194373402,32.4824,-96.9944,0.7935737774316687,Low (<10%),Low,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Midlothian, TX",2023,164.3,28.5,135.8,0.8265368228849665,32.4824,-96.9944,0.7935737774316687,Low (<10%),Low,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
