location,location_label,architecture_id,month,daily_records,water_years,mean_withdrawal_ml_day,mean_consumption_ml_day,flow_q10_ml_day,flow_median_ml_day,pressure_p50_pct,pressure_p90_pct,pressure_p95_pct,pressure_p99_pct,architecture_label,hydrology_source_id,utility_source_id,model_source_id
Seattle_WA,Seattle,climate_responsive_hybrid,5,930,30,0.254214436789914,0.254214436789914,954.164462764032,1573.1480757878785,0.01131174737437629,0.01864983581944064,0.02009806830266086,0.021804333799001055,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,6,900,30,0.6870355726784712,0.6870355726784712,941.6869274817332,1201.2685928644607,0.04003475190574575,0.05107060314959076,0.056985276281154074,0.064451507539809,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,7,930,30,1.8782021908677247,1.8782021908677247,765.7781457567744,946.8247361273856,0.13885796213825596,0.1716870011102398,0.17945626856349095,0.1895005997874576,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,8,930,30,2.800683593830202,2.800683593830202,601.8575842050049,724.1863614824448,0.27071464196977507,0.3257379431831439,0.3439121631890704,0.3670890998739478,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,9,900,30,1.6172594693951021,1.6172594693951021,604.3041597505536,718.0699226185728,0.15765664017207018,0.1873363951431139,0.20294776140504003,0.2257510326481172,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,10,930,30,0.3326890854483132,0.3326890854483132,839.1754121232384,1092.3959810875392,0.02131851964674128,0.0277513326116875,0.02983920716554487,0.03271033362820897,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,11,900,30,0.3232682025277968,0.3232682025277968,1051.7828270314292,1645.322054381568,0.013753408717469356,0.021514693561821365,0.023359426842773746,0.026811517622402033,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,climate_responsive_hybrid,12,930,30,0.0,0.0,1088.726117769216,1967.0467386212351,0.0,0.0,0.0,0.0,Climate-responsive hybrid,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,1,930,30,17.125193144448993,17.125193144448993,1140.104204225741,2341.372797090202,0.5119939709141461,1.0514508372728306,1.1806652775159978,1.3497963916505207,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,2,848,30,17.173377966103345,17.173377966103345,1122.2442027432346,1864.2905657081856,0.6448224754978471,1.071190793907134,1.2003307510335863,1.3958941088902257,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
