location,withdrawal_mg,discharge_mg,consumption_mg,year,operator,unit,report_publication_year,report_printed_page,report_file,is_named_location,consumptive_fraction,balance_derived_consumption_mg,balance_error_mg,qa_flag,reported_cooling_note,source_id,source_url,source_locator,withdrawal_status,discharge_status,consumption_status,known_source_issue,latitude,longitude,name_0,macro_region,bws_raw,bws_score,bws_label,screening_dataset,screening_baseline_period,screening_caveat,aqueduct_source_id,aqueduct_source_url,aqueduct_source_locator
"Midlothian, TX",164.3,28.5,135.8,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8265368228849665,135.8,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,32.4824,-96.9944,United States,North America,0.0866681477670511,0.7935737774316687,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Montgomery County, TN",342.0,53.4,288.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8438596491228071,288.6,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,36.496,-87.385,United States,North America,0.1089822073084819,1.1240926164413865,Low - Medium (10-20%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"New Albany, OH",152.0,24.9,127.1,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8361842105263158,127.1,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,40.0812,-82.8088,United States,North America,0.3566046586726747,2.8343255504112053,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Papillion, NE",164.2,29.5,134.7,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.820341047503045,134.7,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,41.1544,-96.0422,United States,North America,0.0546350818687251,0.1278995263148407,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Sterling, VA",81.0,25.4,55.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.6864197530864198,55.6,0.0,,not specified in location table,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.0067,-77.4291,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Storey County, NV",1.9,1.7,0.2,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.1052631578947368,0.1999999999999999,-5.551115123125783e-17,,air-cooled,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.45,-119.53,United States,North America,0.4235461525358548,3.082519184213296,High (40-80%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Ashburn, VA",59.5,3.5,56.0,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.9411764705882352,56.0,0.0,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.0438,-77.4874,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Berkeley County, SC",853.8,77.3,776.5,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.9094635746076364,776.5,0.0,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.195,-80.0088,United States,North America,0.3601770742051534,2.8487063545280726,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Bristow, VA",105.7,21.3,84.4,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.7984862819299906,84.4,0.0,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,38.7223,-77.5361,United States,North America,0.6015430799817176,3.5886680608434567,High (40-80%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Council Bluffs, IA",1410.3,400.1,1010.2,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.716301496135574,1010.2,-1.1368683772161605e-13,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,41.2619,-95.8608,United States,North America,0.0546350818687251,0.1278995263148407,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"The Dalles, OR",461.1,99.7,361.4,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.7837779223595749,361.4,5.684341886080804e-14,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,45.5946,-121.1787,United States,North America,0.0059433689005362,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Douglas County, GA",444.1,77.2,366.9,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.8261652780905201,366.9,5.684341886080804e-14,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.729,-84.745,United States,North America,0.2660305124910562,2.4115917257827646,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Henderson, NV",359.9,152.5,207.4,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.576271186440678,207.4,-2.8421709430404014e-14,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,36.0395,-114.9817,United States,North America,0.0795599727070787,0.6701146863701557,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Jackson County, AL",201.6,18.8,182.8,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.906746031746032,182.8,-2.8421709430404014e-14,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,34.779,-85.999,United States,North America,0.0620864225029411,0.3123497093174933,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lancaster, OH",207.4,106.3,101.1,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.487463837994214,101.1,1.4210854715202004e-14,,not specified in location table,GOOGLE_ENV_2025,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.7137,-82.5993,United States,North America,0.002409480631486,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
