location,year,electricity_mwh,withdrawal_ml,operator,withdrawal_intensity_l_per_total_kwh,electricity_boundary,intensity_label,report_file,report_printed_page_electricity,report_printed_page_water,source_id,source_url,source_locator,electricity_status,withdrawal_status,intensity_status,previous_year,previous_electricity_mwh,previous_withdrawal_ml,electricity_change_fraction,withdrawal_change_fraction,electricity_log2_ratio,withdrawal_log2_ratio,derived_status
New Albany (OH),2022,702694,87.0,Meta,0.1238092256373328,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,511414.0,121.0,0.37402182967224196,-0.28099173553719003,0.45840492505099895,-0.4759197414258661,within-site consecutive annual change
New Albany (OH),2023,793063,72.0,Meta,0.0907872388448332,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,702694.0,87.0,0.12860363116804763,-0.1724137931034483,0.1745388964277634,-0.27301849440641596,within-site consecutive annual change
New Albany (OH),2024,521217,86.0,Meta,0.1649984555377127,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,793063.0,72.0,-0.3427798295973964,0.19444444444444442,-0.6055513369163836,0.25633975325978553,within-site consecutive annual change
Prineville (OR),2020,686000,445.0,Meta,0.6486880466472303,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2019.0,573000.0,208.0,0.19720767888307145,1.139423076923077,0.2596734374159073,1.097221807712668,within-site consecutive annual change
Prineville (OR),2021,898409,354.0,Meta,0.3940298906177475,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2020.0,686000.0,445.0,0.30963411078717207,-0.20449438202247194,0.38916380391203337,-0.33005597577076273,within-site consecutive annual change
Prineville (OR),2022,982177,240.0,Meta,0.244355141690347,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,898409.0,354.0,0.09324038383408895,-0.3220338983050848,0.12861065849834627,-0.5607149544744789,within-site consecutive annual change
Prineville (OR),2023,1375321,180.0,Meta,0.1308785367197912,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,982177.0,240.0,0.4002781576029575,-0.25,0.48571343912313125,-0.4150374992788438,within-site consecutive annual change
Prineville (OR),2024,1728291,328.0,Meta,0.1897828548548826,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,1375321.0,180.0,0.25664553947769275,0.8222222222222222,0.32957776785476184,0.865698908288409,within-site consecutive annual change
Sarpy (NE),2020,519000,108.0,Meta,0.2080924855491329,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2019.0,178000.0,62.0,1.9157303370786516,0.7419354838709677,1.543857297391483,0.8006911917765933,within-site consecutive annual change
Sarpy (NE),2021,736810,106.0,Meta,0.1438634111914876,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2020.0,519000.0,108.0,0.4196724470134874,-0.01851851851851849,0.5055581032648043,-0.02696704760026932,within-site consecutive annual change
