first_location,first_architecture,first_month,first_consumption_ml_day,first_pressure_p95_pct,second_location,second_architecture,second_month,second_consumption_ml_day,second_pressure_p95_pct,consumption_difference_pct,pressure_ratio,hydrology_source_ids,model_source_id
Council Bluffs,Water-cooled evaporative,1,16.788776887151638,0.0462258706257921,Seattle,Water-cooled evaporative,2,17.173377966103345,1.2003307510335863,2.2395190958402558,25.966644538736972,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,2,16.84823400219893,0.0470552009074579,Seattle,Water-cooled evaporative,12,17.166734198946635,1.2174132739277843,1.855333653195666,25.872023717889032,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,12,16.817773013971404,0.0461342630644143,Seattle,Water-cooled evaporative,1,17.125193144448993,1.1806652775159978,1.7951338001535846,25.59193967978877,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,Seattle,Water-cooled evaporative,12,17.166734198946635,1.2174132739277843,0.5628853286170149,25.553172934001832,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,1,16.788776887151638,0.0462258706257921,Seattle,Water-cooled evaporative,1,17.125193144448993,1.1806652775159978,1.9644523390756716,25.541223162106025,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,2,16.84823400219893,0.0470552009074579,Seattle,Water-cooled evaporative,2,17.173377966103345,1.2003307510335863,1.893302322619246,25.508992159957877,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,Seattle,Water-cooled evaporative,11,17.292650708839894,1.2495704990225598,0.8054081936465469,25.308020313314064,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,Seattle,Water-cooled evaporative,2,17.173377966103345,1.2003307510335863,0.6013540001803911,25.19461543260697,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,2,16.84823400219893,0.0470552009074579,Seattle,Water-cooled evaporative,1,17.125193144448993,1.1806652775159978,1.617261422478252,25.091068675659848,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,12,16.817773013971404,0.0461342630644143,Seattle,Water-cooled evaporative,3,17.249131712627936,1.1438702157795326,2.5007560139432257,24.79437493522808,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,Seattle,Water-cooled evaporative,1,17.125193144448993,1.1806652775159978,0.32167797026431877,24.781842501355207,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,1,16.788776887151638,0.0462258706257921,Seattle,Water-cooled evaporative,3,17.249131712627936,1.1438702157795326,2.668857964249157,24.74523898185491,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,Seattle,Water-cooled evaporative,12,17.166734198946635,1.2174132739277843,0.07782444616190033,24.656727964018852,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,Seattle,Water-cooled evaporative,2,17.173377966103345,1.2003307510335863,0.11648077047281527,24.310749216323394,USGS_06610000; USGS_12117500,LEI_MASANET_2022
